기업이름,분야,평점,연봉,2차산업군
성산전자통신(주) ,제조/화학,2.3,4240,전기/전자/제어
아드반테스트코리아(주) ,제조/화학,3.7,4437,전기/전자/제어
플렉스컴(주) ,제조/화학,2.6,3789,전기/전자/제어
(주)광명전기 ,제조/화학,2.5,3265,전기/전자/제어
(주)아이엘사이언스 ,제조/화학,2.7,2927,전기/전자/제어
우전앤한단(주) ,제조/화학,3.0,3283,전기/전자/제어
투윈스컴(주) ,제조/화학,2.2,3470,전기/전자/제어
파루(주) ,제조/화학,2.7,3690,전기/전자/제어
(주)다래파크텍 ,제조/화학,2.2,3732,전기/전자/제어
데스틴파워(주) ,제조/화학,2.3,3343,전기/전자/제어
에스케이텔레시스(주) ,제조/화학,3.0,4189,전기/전자/제어
(주)에치에프알 ,제조/화학,2.7,4266,전기/전자/제어
(주)이루다 ,제조/화학,2.4,3089,전기/전자/제어
(주)이엘티 ,제조/화학,1.7,3143,전기/전자/제어
(주)이엘피 ,제조/화학,2.9,3843,전기/전자/제어
(주)테라닉스 ,제조/화학,2.2,3582,전기/전자/제어
엠브이텍(주) ,제조/화학,2.6,4043,전기/전자/제어
한국태양유전(주) ,제조/화학,2.3,4305,전기/전자/제어
(주)미래코리아 ,제조/화학,2.0,3057,전기/전자/제어
(주)미코파워 ,제조/화학,2.1,4077,전기/전자/제어
세니온(주) ,제조/화학,2.9,4078,전기/전자/제어
이노닉스(주) ,제조/화학,1.7,2789,전기/전자/제어
티에스피(주) ,제조/화학,2.0,3253,전기/전자/제어
(주)크래비스 ,제조/화학,3.2,3785,전기/전자/제어
인포마크(주) ,제조/화학,2.6,4177,전기/전자/제어
홈캐스트(주) ,제조/화학,2.4,3825,전기/전자/제어
(주)에이프로 ,제조/화학,1.9,4036,전기/전자/제어
(주)오디에이테크놀로지 ,제조/화학,2.3,2598,전기/전자/제어
(주)케이아이티이노베이션 ,제조/화학,2.8,3647,전기/전자/제어
극동전자정밀(주) ,제조/화학,1.5,2431,전기/전자/제어
대원전선(주) ,제조/화학,2.4,3826,전기/전자/제어
동우전기(주) ,제조/화학,2.2,3339,전기/전자/제어
프리닉스(주) ,제조/화학,2.7,3354,전기/전자/제어
현대이엔티(주) ,제조/화학,2.2,3594,전기/전자/제어
(주)디아이씨 ,제조/화학,1.8,3734,전기/전자/제어
(주)지앤피 ,제조/화학,2.7,4027,전기/전자/제어
(주)힘펠 ,제조/화학,1.9,3654,전기/전자/제어
센코(주) ,제조/화학,2.1,3638,전기/전자/제어
한국스파이렉스사코(주) ,제조/화학,3.4,5109,전기/전자/제어
(주)엠티에스코퍼레이션 ,제조/화학,2.4,3829,전기/전자/제어
극동전선(주) ,제조/화학,3.0,4678,전기/전자/제어
대동전자(주) ,제조/화학,2.1,2969,전기/전자/제어
선우플랜트엔지니어링(주) ,제조/화학,2.2,3493,전기/전자/제어
성우테크론(주) ,제조/화학,2.6,3741,전기/전자/제어
지에스인스트루먼트(주) ,제조/화학,2.0,3479,전기/전자/제어
한국컴퓨터(주) ,제조/화학,2.6,3369,전기/전자/제어
(주)미로 ,제조/화학,2.8,3330,전기/전자/제어
(주)아이디테크 ,제조/화학,1.9,4428,전기/전자/제어
신오전자(주) ,제조/화학,2.1,2823,전기/전자/제어
에너테크인터내셔널(주) ,제조/화학,3.0,3765,전기/전자/제어
우성파워텍(주) ,제조/화학,2.1,3162,전기/전자/제어
유양산전(주) ,제조/화학,2.1,3086,전기/전자/제어
현대통신(주) ,제조/화학,2.6,3792,전기/전자/제어
(주)이노인스트루먼트 ,제조/화학,2.3,3802,전기/전자/제어
센트롤(주) ,제조/화학,1.6,3125,전기/전자/제어
아비코전자(주) ,제조/화학,2.4,3219,전기/전자/제어
텔릿와이어리스솔루션즈(주) ,제조/화학,2.8,4646,전기/전자/제어
피케이엘(주) ,제조/화학,2.8,3421,전기/전자/제어
(주)인텍에프에이 ,제조/화학,2.9,3637,전기/전자/제어
아이에스테크놀로지(주) ,제조/화학,2.6,4489,전기/전자/제어
피피아이(주) ,제조/화학,2.8,2925,전기/전자/제어
(주)에스디시스템 ,제조/화학,2.5,3720,전기/전자/제어
(주)에이제이월드 ,제조/화학,2.6,3303,전기/전자/제어
(주)트루엔 ,제조/화학,2.5,3324,전기/전자/제어
(주)그림 ,제조/화학,2.3,3600,전기/전자/제어
(주)대주 ,제조/화학,2.4,3268,전기/전자/제어
(주)에스에이치텍 ,제조/화학,2.3,3316,전기/전자/제어
(주)에이디티 ,제조/화학,2.5,4049,전기/전자/제어
(주)피에스텍 ,제조/화학,2.5,3308,전기/전자/제어
네덱(주) ,제조/화학,2.3,3346,전기/전자/제어
빌트조명(주) ,제조/화학,2.1,3468,전기/전자/제어
(주)비브이씨피에스에이디티코리아 ,제조/화학,1.7,3720,전기/전자/제어
(주)비츠로밀텍 ,제조/화학,4.4,3915,전기/전자/제어
(주)에너토크 ,제조/화학,2.6,3503,전기/전자/제어
(주)이엠티 ,제조/화학,1.5,3280,전기/전자/제어
(주)화이트스톤 ,제조/화학,2.2,3137,전기/전자/제어
삼원에프에이(주) ,제조/화학,2.6,3273,전기/전자/제어
씨프로(주) ,제조/화학,2.8,3257,전기/전자/제어
픽셀플러스(주) ,제조/화학,2.7,4819,전기/전자/제어
한국계측기기연구센터 ,제조/화학,1.8,2643,전기/전자/제어
(주)지에이 ,제조/화학,1.8,3301,전기/전자/제어
(주)필로시스 ,제조/화학,2.4,3216,전기/전자/제어
모베이스(주) ,제조/화학,2.1,3769,전기/전자/제어
유비셀(주) ,제조/화학,1.7,3222,전기/전자/제어
(주)스탠다드뱅크 ,제조/화학,3.1,2890,전기/전자/제어
갤럭시아일렉트로닉스(주) ,제조/화학,2.1,3978,전기/전자/제어
썬텔(주) ,제조/화학,2.2,3402,전기/전자/제어
옵티시스(주) ,제조/화학,3.1,3936,전기/전자/제어
우리별(주) ,제조/화학,2.2,3085,전기/전자/제어
제룡전기(주) ,제조/화학,2.5,3856,전기/전자/제어
코위버(주) ,제조/화학,2.7,3377,전기/전자/제어
(주)하이소닉 ,제조/화학,2.4,4256,전기/전자/제어
나노시스(주) ,제조/화학,2.2,3700,전기/전자/제어
신흥정밀 ,제조/화학,2.0,3500,전기/전자/제어
에브리봇(주) ,제조/화학,2.5,4202,전기/전자/제어
(주)머큐리 ,제조/화학,2.8,3867,전기/전자/제어
(주)씨케이머티리얼즈랩 ,제조/화학,2.3,3655,전기/전자/제어
(주)이에스디웍 ,제조/화학,2.0,3535,전기/전자/제어
유호전기공업(주) ,제조/화학,2.3,3796,전기/전자/제어
인텔릭스(주) ,제조/화학,2.1,3911,전기/전자/제어
피엔에스테크놀러지(주) ,제조/화학,2.7,4146,전기/전자/제어
(주)벡셀 ,제조/화학,3.2,3805,전기/전자/제어
(주)이브이첨단소재 ,제조/화학,2.4,3186,전기/전자/제어
소닉스(주) ,제조/화학,2.0,3417,전기/전자/제어
키스트론(주) ,제조/화학,1.9,3813,전기/전자/제어
티에스에이(주) ,제조/화학,1.6,3495,전기/전자/제어
티피링크코리아(유) ,제조/화학,3.2,3777,전기/전자/제어
(주)아이토크콘트롤즈 ,제조/화학,2.4,2406,전기/전자/제어
고려전선(주) ,제조/화학,2.5,3019,전기/전자/제어
에스디옵틱스(주) ,제조/화학,2.5,4070,전기/전자/제어
피엔에스테크놀러지(주) ,제조/화학,2.7,4146,전기/전자/제어
(주)벡셀 ,제조/화학,3.2,3805,전기/전자/제어
(주)이브이첨단소재 ,제조/화학,2.4,3186,전기/전자/제어
